date,count,drug,expected_count,residual,zscore,is_anomaly_zscore,isolation_forest_score,is_anomaly_isoforest,is_anomaly_high_confidence
2022-01-01,2,amoxicillin,5.93,-3.93,0.0,False,0.067,False,False
2022-01-02,2,amoxicillin,1.92,0.08,0.0,False,0.073,False,False
2022-01-03,16,amoxicillin,23.95,-7.95,0.0,False,0.031,False,False
2022-01-04,26,amoxicillin,25.73,0.27,0.0,False,-0.059,False,False
2022-01-05,28,amoxicillin,24.58,3.42,0.0,False,-0.071,False,False
2022-01-06,26,amoxicillin,26.03,-0.03,0.0,False,-0.124,False,False
2022-01-07,29,amoxicillin,26.0,3.0,0.93,False,-0.129,False,False
2022-01-08,3,amoxicillin,5.66,-2.66,-0.45,False,-0.118,False,False
2022-01-09,1,amoxicillin,1.72,-0.72,0.07,False,-0.125,False,False
2022-01-10,22,amoxicillin,23.71,-1.71,-0.21,False,-0.128,False,False
2022-01-11,21,amoxicillin,25.79,-4.79,-1.02,False,-0.131,False,False
2022-01-12,29,amoxicillin,24.4,4.6,1.51,False,-0.128,False,False
2022-01-13,30,amoxicillin,25.9,4.1,1.23,False,-0.137,False,False
2022-01-14,15,amoxicillin,26.08,-11.08,-2.15,False,-0.089,False,False
2022-01-15,1,amoxicillin,5.05,-4.05,-0.59,False,-0.088,False,False
2022-01-16,2,amoxicillin,1.04,0.96,0.52,False,-0.123,False,False
2022-01-17,14,amoxicillin,23.11,-9.11,-1.59,False,-0.074,False,False
2022-01-18,31,amoxicillin,24.83,6.17,1.54,False,-0.112,False,False
2022-01-19,26,amoxicillin,23.97,2.03,0.66,False,-0.11,False,False
2022-01-20,21,amoxicillin,25.35,-4.35,-0.65,False,-0.094,False,False
2022-01-21,16,amoxicillin,25.12,-9.12,-1.52,False,-0.087,False,False
2022-01-22,8,amoxicillin,4.18,3.82,1.06,False,-0.106,False,False
2022-01-23,4,amoxicillin,0.55,3.45,0.95,False,-0.104,False,False
2022-01-24,33,amoxicillin,22.75,10.25,2.05,False,-0.09,False,False
2022-01-25,39,amoxicillin,25.42,13.58,2.3,False,-0.075,False,False
2022-01-26,14,amoxicillin,24.92,-10.92,-1.67,False,-0.087,False,False
2022-01-27,49,amoxicillin,25.67,23.33,3.01,False,0.034,False,False
2022-01-28,26,amoxicillin,26.78,-0.78,-0.14,False,-0.032,False,False
2022-01-29,9,amoxicillin,6.26,2.74,0.32,False,-0.03,False,False
2022-01-30,0,amoxicillin,2.58,-2.58,-0.39,False,-0.001,False,False
2022-01-31,25,amoxicillin,24.48,0.52,0.01,False,-0.041,False,False
2022-02-01,24,amoxicillin,26.67,-2.67,-0.41,False,-0.091,False,False
2022-02-02,24,amoxicillin,25.38,-1.38,-0.27,False,-0.083,False,False
2022-02-03,32,amoxicillin,26.59,5.41,0.66,False,-0.121,False,False
2022-02-04,26,amoxicillin,26.83,-0.83,-0.2,False,-0.136,False,False
2022-02-05,4,amoxicillin,6.3,-2.3,-0.39,False,-0.111,False,False
2022-02-06,9,amoxicillin,2.38,6.62,0.83,False,-0.094,False,False
2022-02-07,19,amoxicillin,24.73,-5.73,-0.86,False,-0.102,False,False
2022-02-08,30,amoxicillin,26.61,3.39,0.37,False,-0.125,False,False
2022-02-09,25,amoxicillin,25.62,-0.62,-0.18,False,-0.128,False,False
2022-02-10,28,amoxicillin,26.87,1.13,0.03,False,-0.131,False,False
2022-02-11,52,amoxicillin,26.9,25.1,2.79,False,0.037,False,False
2022-02-12,5,amoxicillin,7.64,-2.64,-0.47,False,-0.054,False,False
2022-02-13,5,amoxicillin,3.7,1.3,-0.06,False,-0.047,False,False
2022-02-14,34,amoxicillin,25.78,8.22,0.74,False,-0.0,False,False
2022-02-15,28,amoxicillin,28.35,-0.35,-0.3,False,-0.032,False,False
2022-02-16,31,amoxicillin,27.18,3.82,0.16,False,-0.017,False,False
2022-02-17,41,amoxicillin,28.64,12.36,1.19,False,0.033,True,False
2022-02-18,46,amoxicillin,29.22,16.78,1.6,False,0.032,True,False
2022-02-19,8,amoxicillin,9.56,-1.56,-0.59,False,-0.025,False,False
2022-02-20,10,amoxicillin,5.67,4.33,0.07,False,-0.009,False,False
2022-02-21,27,amoxicillin,27.9,-0.9,-0.56,False,-0.044,False,False
2022-02-22,29,amoxicillin,30.02,-1.02,-0.56,False,-0.05,False,False
2022-02-23,29,amoxicillin,28.82,0.18,-0.37,False,-0.044,False,False
2022-02-24,39,amoxicillin,30.11,8.89,0.75,False,-0.042,False,False
2022-02-25,40,amoxicillin,30.52,9.48,0.77,False,-0.034,False,False
2022-02-26,3,amoxicillin,10.49,-7.49,-1.49,False,-0.048,False,False
2022-02-27,2,amoxicillin,6.31,-4.31,-0.99,False,-0.066,False,False
2022-02-28,27,amoxicillin,28.13,-1.13,-0.51,False,-0.06,False,False
2022-03-01,30,amoxicillin,30.24,-0.24,-0.39,False,-0.068,False,False
2022-03-02,54,amoxicillin,29.07,24.93,2.71,True,0.089,True,True
2022-03-03,26,amoxicillin,31.57,-5.57,-1.08,False,0.001,True,False
2022-03-04,24,amoxicillin,31.27,-7.27,-1.24,False,-0.032,False,False
2022-03-05,1,amoxicillin,10.43,-9.43,-1.39,False,-0.007,False,False
2022-03-06,0,amoxicillin,6.15,-6.15,-0.98,False,-0.003,False,False
2022-03-07,48,amoxicillin,27.88,20.12,1.85,False,0.071,True,False
2022-03-08,25,amoxicillin,31.02,-6.02,-0.93,False,0.017,True,False
2022-03-09,39,amoxicillin,29.57,9.43,0.68,False,-0.009,False,False
2022-03-10,30,amoxicillin,31.31,-1.31,-0.46,False,-0.025,False,False
2022-03-11,40,amoxicillin,31.22,8.78,0.58,False,0.027,True,False
2022-03-12,4,amoxicillin,11.17,-7.17,-1.07,False,0.012,True,False
2022-03-13,5,amoxicillin,7.0,-2.0,-0.48,False,0.02,True,False
2022-03-14,21,amoxicillin,28.93,-7.93,-1.13,False,-0.084,False,False
2022-03-15,26,amoxicillin,30.71,-4.71,-0.73,False,-0.097,False,False
2022-03-16,20,amoxicillin,29.32,-9.32,-1.17,False,-0.115,False,False
2022-03-17,23,amoxicillin,30.14,-7.14,-0.89,False,-0.144,False,False
2022-03-18,27,amoxicillin,29.77,-2.77,-0.38,False,-0.122,False,False
2022-03-19,5,amoxicillin,9.15,-4.15,-0.49,False,-0.109,False,False
2022-03-20,3,amoxicillin,5.13,-2.13,-0.2,False,-0.119,False,False
2022-03-21,25,amoxicillin,27.05,-2.05,-0.19,False,-0.114,False,False
2022-03-22,14,amoxicillin,29.12,-15.12,-1.61,False,-0.087,False,False
2022-03-23,29,amoxicillin,27.22,1.78,0.32,False,-0.125,False,False
2022-03-24,13,amoxicillin,28.59,-15.59,-1.55,False,-0.07,False,False
2022-03-25,30,amoxicillin,27.8,2.2,0.4,False,-0.114,False,False
2022-03-26,1,amoxicillin,7.42,-6.42,-0.5,False,-0.08,False,False
2022-03-27,2,amoxicillin,3.29,-1.29,0.12,False,-0.115,False,False
2022-03-28,24,amoxicillin,25.25,-1.25,0.1,False,-0.097,False,False
2022-03-29,23,amoxicillin,27.36,-4.36,-0.26,False,-0.127,False,False
2022-03-30,29,amoxicillin,25.99,3.01,0.57,False,-0.118,False,False
2022-03-31,31,amoxicillin,27.42,3.58,0.62,False,-0.13,False,False
2022-04-01,36,amoxicillin,27.57,8.43,1.46,False,-0.091,False,False
2022-04-02,3,amoxicillin,7.49,-4.49,-0.29,False,-0.092,False,False
2022-04-03,2,amoxicillin,3.46,-1.46,0.1,False,-0.121,False,False
2022-04-04,26,amoxicillin,25.41,0.59,0.33,False,-0.112,False,False
2022-04-05,30,amoxicillin,27.6,2.4,0.55,False,-0.108,False,False
2022-04-06,25,amoxicillin,26.56,-1.56,0.12,False,-0.115,False,False
2022-04-07,29,amoxicillin,27.77,1.23,0.55,False,-0.122,False,False
2022-04-08,18,amoxicillin,27.8,-9.8,-1.25,False,-0.115,False,False
2022-04-09,3,amoxicillin,6.84,-3.84,-0.19,False,-0.116,False,False
2022-04-10,3,amoxicillin,2.83,0.17,0.6,False,-0.129,False,False
2022-04-11,22,amoxicillin,24.87,-2.87,0.01,False,-0.126,False,False
2022-04-12,30,amoxicillin,26.89,3.11,1.09,False,-0.131,False,False
2022-04-13,31,amoxicillin,25.89,5.11,1.36,False,-0.119,False,False
2022-04-14,22,amoxicillin,27.42,-5.42,-0.57,False,-0.139,False,False
2022-04-15,29,amoxicillin,27.13,1.87,0.71,False,-0.135,False,False
2022-04-16,6,amoxicillin,6.73,-0.73,0.19,False,-0.119,False,False
2022-04-17,5,amoxicillin,2.88,2.12,0.7,False,-0.12,False,False
2022-04-18,39,amoxicillin,25.01,13.99,2.5,False,-0.067,False,False
2022-04-19,35,amoxicillin,27.86,7.14,1.27,False,-0.076,False,False
2022-04-20,39,amoxicillin,27.05,11.95,1.85,False,-0.043,False,False
2022-04-21,35,amoxicillin,28.92,6.08,0.92,False,-0.051,False,False
2022-04-22,31,amoxicillin,29.19,1.81,0.21,False,-0.05,False,False
2022-04-23,3,amoxicillin,8.79,-5.79,-1.24,False,-0.019,False,False
2022-04-24,11,amoxicillin,4.69,6.31,0.98,False,-0.02,False,False
2022-04-25,31,amoxicillin,27.03,3.97,0.5,False,-0.045,False,False
2022-04-26,28,amoxicillin,29.39,-1.39,-0.52,False,-0.071,False,False
2022-04-27,17,amoxicillin,28.16,-11.16,-2.12,False,-0.097,False,False
2022-04-28,33,amoxicillin,28.9,4.1,0.5,False,-0.105,False,False
2022-04-29,39,amoxicillin,29.07,9.93,1.43,False,-0.077,False,False
2022-04-30,4,amoxicillin,9.07,-5.07,-1.05,False,-0.086,False,False
2022-05-01,1,amoxicillin,5.01,-4.01,-0.82,False,-0.094,False,False
2022-05-02,20,amoxicillin,26.84,-6.84,-1.26,False,-0.082,False,False
2022-05-03,26,amoxicillin,28.67,-2.67,-0.56,False,-0.113,False,False
2022-05-04,28,amoxicillin,27.38,0.62,-0.01,False,-0.11,False,False
2022-05-05,25,amoxicillin,28.69,-3.69,-0.69,False,-0.128,False,False
2022-05-06,28,amoxicillin,28.48,-0.48,-0.17,False,-0.131,False,False
2022-05-07,4,amoxicillin,7.97,-3.97,-0.71,False,-0.116,False,False
2022-05-08,3,amoxicillin,3.96,-0.96,-0.28,False,-0.129,False,False
2022-05-09,29,amoxicillin,25.94,3.06,0.38,False,-0.123,False,False
2022-05-10,21,amoxicillin,28.26,-7.26,-1.33,False,-0.135,False,False
2022-05-11,19,amoxicillin,26.74,-7.74,-1.35,False,-0.122,False,False
2022-05-12,25,amoxicillin,27.65,-2.65,-0.48,False,-0.14,False,False
2022-05-13,32,amoxicillin,27.49,4.51,0.7,False,-0.12,False,False
2022-05-14,6,amoxicillin,7.23,-1.23,-0.27,False,-0.121,False,False
2022-05-15,0,amoxicillin,3.35,-3.35,-0.59,False,-0.105,False,False
2022-05-16,24,amoxicillin,25.21,-1.21,-0.24,False,-0.121,False,False
2022-05-17,33,amoxicillin,27.32,5.68,0.88,False,-0.118,False,False
2022-05-18,28,amoxicillin,26.44,1.56,0.3,False,-0.126,False,False
2022-05-19,21,amoxicillin,27.8,-6.8,-1.14,False,-0.134,False,False
2022-05-20,26,amoxicillin,27.44,-1.44,-0.09,False,-0.137,False,False
2022-05-21,10,amoxicillin,6.88,3.12,0.87,False,-0.116,False,False
2022-05-22,2,amoxicillin,3.22,-1.22,-0.0,False,-0.133,False,False
2022-05-23,34,amoxicillin,25.18,8.82,1.88,False,-0.088,False,False
2022-05-24,20,amoxicillin,27.78,-7.78,-1.31,False,-0.129,False,False
2022-05-25,29,amoxicillin,26.24,2.76,0.8,False,-0.132,False,False
2022-05-26,22,amoxicillin,27.66,-5.66,-0.85,False,-0.138,False,False
2022-05-27,26,amoxicillin,27.36,-1.36,-0.07,False,-0.134,False,False
2022-05-28,2,amoxicillin,6.8,-4.8,-0.74,False,-0.103,False,False
2022-05-29,2,amoxicillin,2.75,-0.75,0.23,False,-0.122,False,False
2022-05-30,20,amoxicillin,24.74,-4.74,-0.74,False,-0.11,False,False
2022-05-31,31,amoxicillin,26.68,4.32,1.34,False,-0.127,False,False
2022-06-01,35,amoxicillin,25.73,9.27,2.22,False,-0.096,False,False
2022-06-02,20,amoxicillin,27.46,-7.46,-1.37,False,-0.123,False,False
2022-06-03,27,amoxicillin,27.07,-0.07,0.21,False,-0.127,False,False
2022-06-04,7,amoxicillin,6.58,0.42,0.28,False,-0.119,False,False
2022-06-05,0,amoxicillin,2.79,-2.79,-0.38,False,-0.105,False,False
2022-06-06,26,amoxicillin,24.68,1.32,0.46,False,-0.125,False,False
2022-06-07,22,amoxicillin,26.91,-4.91,-0.84,False,-0.134,False,False
2022-06-08,12,amoxicillin,25.51,-13.51,-2.31,False,-0.06,False,False
2022-06-09,22,amoxicillin,26.13,-4.13,-0.54,False,-0.118,False,False
2022-06-10,18,amoxicillin,25.9,-7.9,-1.27,False,-0.078,False,False
2022-06-11,5,amoxicillin,5.03,-0.03,0.25,False,-0.083,False,False
2022-06-12,2,amoxicillin,1.21,0.79,0.44,False,-0.071,False,False
2022-06-13,12,amoxicillin,23.28,-11.28,-1.78,False,0.013,True,False
2022-06-14,33,amoxicillin,24.89,8.11,1.69,False,-0.064,False,False
2022-06-15,28,amoxicillin,24.13,3.87,0.89,False,-0.116,False,False
2022-06-16,28,amoxicillin,25.6,2.4,0.67,False,-0.138,False,False
2022-06-17,22,amoxicillin,25.69,-3.69,-0.39,False,-0.134,False,False
2022-06-18,8,amoxicillin,5.02,2.98,0.75,False,-0.123,False,False
2022-06-19,1,amoxicillin,1.35,-0.35,0.14,False,-0.123,False,False
