date,count,drug
2022-01-01,11,metformin
2022-01-02,4,metformin
2022-01-03,71,metformin
2022-01-04,67,metformin
2022-01-05,74,metformin
2022-01-06,58,metformin
2022-01-07,64,metformin
2022-01-08,6,metformin
2022-01-09,4,metformin
2022-01-10,51,metformin
2022-01-11,71,metformin
2022-01-12,34,metformin
2022-01-13,62,metformin
2022-01-14,51,metformin
2022-01-15,1,metformin
2022-01-16,7,metformin
2022-01-17,56,metformin
2022-01-18,56,metformin
2022-01-19,49,metformin
2022-01-20,60,metformin
2022-01-21,69,metformin
2022-01-22,14,metformin
2022-01-23,4,metformin
2022-01-24,55,metformin
2022-01-25,62,metformin
2022-01-26,28,metformin
2022-01-27,61,metformin
2022-01-28,63,metformin
2022-01-29,20,metformin
2022-01-30,7,metformin
2022-01-31,63,metformin
2022-02-01,69,metformin
2022-02-02,77,metformin
2022-02-03,73,metformin
2022-02-04,66,metformin
2022-02-05,10,metformin
2022-02-06,20,metformin
2022-02-07,66,metformin
2022-02-08,72,metformin
2022-02-09,61,metformin
2022-02-10,60,metformin
2022-02-11,68,metformin
2022-02-12,11,metformin
2022-02-13,6,metformin
2022-02-14,90,metformin
2022-02-15,86,metformin
2022-02-16,74,metformin
2022-02-17,82,metformin
2022-02-18,80,metformin
2022-02-19,11,metformin
2022-02-20,11,metformin
2022-02-21,49,metformin
2022-02-22,59,metformin
2022-02-23,65,metformin
2022-02-24,60,metformin
2022-02-25,91,metformin
2022-02-26,7,metformin
2022-02-27,3,metformin
2022-02-28,80,metformin
2022-03-01,68,metformin
2022-03-02,111,metformin
2022-03-03,74,metformin
2022-03-04,90,metformin
2022-03-05,3,metformin
2022-03-06,1,metformin
2022-03-07,95,metformin
2022-03-08,87,metformin
2022-03-09,69,metformin
2022-03-10,84,metformin
2022-03-11,61,metformin
2022-03-12,9,metformin
2022-03-13,6,metformin
2022-03-14,63,metformin
2022-03-15,50,metformin
2022-03-16,56,metformin
2022-03-17,70,metformin
2022-03-18,58,metformin
2022-03-19,17,metformin
2022-03-20,1,metformin
2022-03-21,55,metformin
2022-03-22,50,metformin
2022-03-23,63,metformin
2022-03-24,69,metformin
2022-03-25,75,metformin
2022-03-26,15,metformin
2022-03-27,3,metformin
2022-03-28,42,metformin
2022-03-29,76,metformin
2022-03-30,68,metformin
2022-03-31,77,metformin
2022-04-01,93,metformin
2022-04-02,5,metformin
2022-04-03,10,metformin
2022-04-04,71,metformin
2022-04-05,78,metformin
2022-04-06,67,metformin
2022-04-07,91,metformin
2022-04-08,64,metformin
2022-04-09,14,metformin
2022-04-10,7,metformin
2022-04-11,72,metformin
2022-04-12,93,metformin
2022-04-13,74,metformin
2022-04-14,70,metformin
2022-04-15,74,metformin
2022-04-16,10,metformin
2022-04-17,9,metformin
2022-04-18,68,metformin
2022-04-19,73,metformin
2022-04-20,51,metformin
2022-04-21,74,metformin
2022-04-22,74,metformin
2022-04-23,7,metformin
2022-04-24,10,metformin
2022-04-25,63,metformin
2022-04-26,68,metformin
2022-04-27,64,metformin
2022-04-28,68,metformin
2022-04-29,64,metformin
2022-04-30,6,metformin
2022-05-01,3,metformin
2022-05-02,62,metformin
2022-05-03,35,metformin
2022-05-04,60,metformin
2022-05-05,57,metformin
2022-05-06,77,metformin
2022-05-07,17,metformin
2022-05-08,9,metformin
2022-05-09,78,metformin
2022-05-10,57,metformin
2022-05-11,64,metformin
2022-05-12,77,metformin
2022-05-13,79,metformin
2022-05-14,5,metformin
2022-05-15,7,metformin
2022-05-16,67,metformin
2022-05-17,76,metformin
2022-05-18,55,metformin
2022-05-19,55,metformin
2022-05-20,87,metformin
2022-05-21,21,metformin
2022-05-22,9,metformin
2022-05-23,91,metformin
2022-05-24,81,metformin
2022-05-25,98,metformin
2022-05-26,74,metformin
2022-05-27,84,metformin
2022-05-28,15,metformin
2022-05-29,6,metformin
2022-05-30,66,metformin
2022-05-31,96,metformin
2022-06-01,82,metformin
2022-06-02,74,metformin
2022-06-03,75,metformin
2022-06-04,16,metformin
2022-06-05,4,metformin
2022-06-06,85,metformin
2022-06-07,83,metformin
2022-06-08,51,metformin
2022-06-09,65,metformin
2022-06-10,66,metformin
2022-06-11,16,metformin
2022-06-12,2,metformin
2022-06-13,53,metformin
2022-06-14,59,metformin
2022-06-15,67,metformin
2022-06-16,70,metformin
2022-06-17,82,metformin
2022-06-18,14,metformin
2022-06-19,8,metformin
2022-06-20,64,metformin
2022-06-21,48,metformin
2022-06-22,75,metformin
2022-06-23,78,metformin
2022-06-24,78,metformin
2022-06-25,17,metformin
2022-06-26,5,metformin
2022-06-27,61,metformin
2022-06-28,67,metformin
2022-06-29,63,metformin
2022-06-30,70,metformin
2022-07-01,59,metformin
2022-07-02,18,metformin
2022-07-03,3,metformin
2022-07-04,43,metformin
2022-07-05,58,metformin
2022-07-06,65,metformin
2022-07-07,63,metformin
2022-07-08,66,metformin
2022-07-09,8,metformin
2022-07-10,4,metformin
2022-07-11,64,metformin
2022-07-12,90,metformin
2022-07-13,55,metformin
2022-07-14,66,metformin
2022-07-15,65,metformin
2022-07-16,13,metformin
2022-07-17,5,metformin
2022-07-18,62,metformin
